customer_id,customer_name,age,gender,region,account_start_date,account_tenure_months,service_type,contract_type,dwelling_type,has_autopay,paperless_billing,family_size,income_bracket,home_ownership,churned,avg_monthly_bill,bill_std,max_bill,min_bill,total_revenue,payment_delay_avg_days,payment_delay_max,late_payments_count,billing_disputes_count,num_bills,avg_monthly_consumption,consumption_std,max_consumption,min_consumption,estimated_reading_ratio,smart_meter,consumption_trend,consumption_volatility,peak_to_avg_ratio,total_interactions,avg_interaction_duration,unresolved_count,avg_satisfaction_score,channel_diversity,interaction_account_change,interaction_billing_inquiry,interaction_general_inquiry,interaction_meter_issue,interaction_move_in_out,interaction_outage_report,interaction_payment_issue,interaction_rate_plan_change,interaction_service_request,complaint_count,avg_complaint_severity,max_complaint_severity,avg_resolution_time_days,escalation_count,avg_sentiment_score,min_sentiment_score,sentiment_std,avg_sentiment_pos,avg_sentiment_neg,negative_sentiment_ratio,positive_sentiment_ratio,total_payments,avg_payment,num_payments,reversed_payments,payment_method_diversity,census_median_income,neighborhood_crime_index,area_avg_property_value,distance_to_service_center_miles,num_competitors_in_area,area_satisfaction_index,renewable_energy_adoption_pct,avg_outages_per_year_area
CUST0000001,Customer_1,55,Male,West,2023-03-03,22,Electricity,Residential,Townhouse,1,1,2,High,Own,0,80.5775,21.888924984030666,138.05,46.85,1933.86,4.375,14,7,2,24,1652.955,527.6205168819561,2450.97,580.4,0.20833333333333334,1,-0.013374730832790688,0.31919835499572347,1.4827808379538463,27.0,8.0,7.0,3.4074074074074074,6.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,1.5,1.0,0.31245,0.0,0.36078618321659717,0.1585,0.0,0.0,0.5,5868.64,255.15826086956523,23,1,6,31574.0,3.03,394708.0,2.4,1,4.54,21.1,5
CUST0000002,Customer_2,45,Male,Southwest,2024-02-01,11,Gas,Residential,Townhouse,1,1,1,Medium,Own,0,195.615,49.63285167323546,285.06,107.1,4694.76,3.4166666666666665,13,8,2,24,1298.9725,397.45762679539314,2101.49,666.54,0.20833333333333334,1,-0.021437420350635065,0.30597847667706063,1.617809460939319,2.0,8.5,1.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,-0.4588,-0.4588,0.0,0.0,0.188,1.0,0.0,6292.13,273.5708695652174,23,4,5,110242.0,7.04,328878.0,40.2,1,3.03,15.5,2
CUST0000003,Customer_3,57,Male,Gulf Coast,2015-04-02,117,Electricity+Gas,Commercial,Single Family,0,0,4,Medium,Own,0,74.20666666666666,27.35428520068803,114.93,10.0,1780.96,4.708333333333333,17,6,1,24,783.71625,205.76910888732206,1155.97,400.92,0.125,1,-0.060218325074382024,0.2625556237826153,1.4749853661959926,2.0,5.5,1.0,3.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5237.89,227.73434782608697,23,3,5,55638.0,4.3,271120.0,24.4,0,4.1,26.2,1
CUST0000004,Customer_4,70,Male,Gulf Coast,2022-06-02,31,Electricity+Water,Commercial,Single Family,1,0,1,Medium,Rent,1,220.15916666666666,49.76294753229003,313.98,137.07,5283.82,4.708333333333333,24,8,2,24,1513.635,470.76672412971806,2182.63,717.44,0.25,1,0.015131553766163677,0.31101733517639196,1.4419790768580272,21.0,7.619047619047619,5.0,4.0,5.0,1.0,2.0,3.0,6.0,2.0,1.0,3.0,3.0,0.0,9.0,3.5555555555555554,5.0,3.0,2.0,-0.18867777777777778,-0.8313,0.34842481533961445,0.053,0.13566666666666669,0.3333333333333333,0.1111111111111111,5060.46,220.02,23,0,6,56908.0,6.54,413401.0,2.8,0,4.85,25.1,2
CUST0000005,Customer_5,44,Male,Northeast,2022-07-02,30,Electricity+Gas,Small Business,Condo,1,1,1,High,Rent,0,336.4529166666667,75.01987130836194,450.08,226.86,8074.87,3.5,13,4,1,24,843.4549999999999,291.4262382475717,1301.28,436.96,0.25,1,0.009246760259179388,0.34551486237863516,1.542797185386298,6.0,8.833333333333334,1.0,3.8333333333333335,5.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,7.0,3.7142857142857144,5.0,9.285714285714286,1.0,-0.08487142857142858,-0.7178,0.470718761449926,0.07957142857142856,0.10642857142857143,0.42857142857142855,0.14285714285714285,3994.59,181.57227272727275,22,2,6,101283.0,9.47,358006.0,11.1,0,4.0,14.8,4
CUST0000006,Customer_6,44,Female,Northeast,2024-02-01,11,Electricity,Residential,Apartment,0,1,1,Medium,Own,1,101.36416666666666,31.691952471396824,171.94,33.74,2432.74,4.166666666666667,21,4,1,24,345.17333333333335,104.1343738373298,513.72,155.48,0.25,1,0.06605564076665027,0.30168719243663994,1.488295735475896,1.0,26.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.75,5.0,4.25,1.0,0.3508,0.0,0.4098814218771083,0.194,0.0,0.0,0.5,5680.42,246.97478260869565,23,1,5,59202.0,1.88,98880.0,8.2,0,4.77,26.8,3
CUST0000007,Customer_7,71,Female,Southeast,2022-09-01,28,Electricity,Small Business,Single Family,1,0,1,Medium-High,Own,0,280.04833333333335,60.66905863257085,376.4,178.54,6721.16,4.291666666666667,28,5,0,24,727.2937499999999,199.88732447387974,992.51,418.75,0.0,1,0.018547921728440647,0.2748371266408927,1.3646618027447646,4.0,10.25,1.0,2.75,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,8.0,0.0,0.0946,0.0946,0.0,0.207,0.179,0.0,1.0,5009.12,227.68727272727273,22,2,6,107824.0,8.86,545297.0,28.8,3,4.66,20.0,2
CUST0000008,Customer_8,59,Female,Midwest,2014-10-01,123,Electricity+Water,Residential,Single Family,0,1,3,Medium,Own,1,268.3808333333333,55.67527106329178,355.75,195.37,6441.14,3.4583333333333335,17,6,2,24,1285.8808333333334,354.14322291751654,1975.54,729.52,0.16666666666666666,1,-0.02590661974903202,0.2754090532631133,1.5363320992030753,2.0,16.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.6666666666666665,4.0,8.0,1.0,-0.1822,-0.6361,0.6688514259534774,0.125,0.21733333333333335,0.6666666666666666,0.3333333333333333,5418.07,225.75291666666666,24,0,5,70276.0,9.77,250176.0,30.4,4,2.93,31.3,3
CUST0000009,Customer_9,40,Male,Midwest,2022-10-02,27,Gas,Residential,Townhouse,1,0,3,Medium,Own,0,156.27,42.22242501222596,251.16,88.05,3750.48,5.5,17,4,2,24,1353.93625,440.4359639465197,2002.41,734.0,0.20833333333333334,1,-0.026961154879548123,0.3253003706389571,1.4789544190134507,5.0,7.6,1.0,2.8,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4457.39,202.60863636363638,22,3,6,79341.0,5.6,509255.0,40.6,1,2.28,0.1,0
CUST0000010,Customer_10,56,Male,Northeast,2009-12-01,181,Electricity,Residential,Townhouse,1,0,3,Medium-Low,Rent,1,249.59541666666667,52.60557806256956,333.5,183.51,5990.29,5.625,19,6,2,24,366.91333333333336,112.01257063254174,550.24,176.13,0.16666666666666666,1,-0.05216252623941845,0.3052834564907473,1.4996456928975053,1.0,25.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,7.75,3.0,0.0595,0.0,0.06870468203356546,0.086,0.07,0.0,0.5,5621.37,244.4073913043478,23,1,5,62145.0,8.43,520037.0,13.3,2,4.74,15.8,2
