customer_id,complaint_date,complaint_category,comment,severity,resolution_time_days,escalated,resolved
C00001,2024-04-16,Outage,I feel like loyal customers are not being valued the way they should be.,3,13,0,1
C00001,2024-04-19,Technical,"There was a small discrepancy on my statement, now resolved.",2,14,0,0
C00002,2022-03-06,Meter Reading,I have been trying to get this resolved for two weeks now.,3,9,0,0
C00002,2023-12-18,Meter Reading,Can you confirm my direct debit amount?,1,1,0,1
C00003,2024-06-10,Account Management,"There was a small discrepancy on my statement, now resolved.",2,8,0,1
C00003,2024-01-12,Meter Reading,The rate increase was not communicated clearly and came as a surprise.,3,11,0,1
C00003,2022-09-26,Technical,The email confirmation for my account change took two days to arrive.,2,1,0,1
C00004,2024-01-14,Service Quality,The technician arrived a bit late but did a good job.,2,5,0,0
C00004,2022-05-18,Service Quality,"Everything is fine, just updating my details.",1,3,0,1
C00005,2023-11-25,Service Quality,The technician arrived a bit late but did a good job.,2,1,0,0
C00006,2022-02-26,Account Management,The rate increase was not communicated clearly and came as a surprise.,3,19,0,0
C00006,2023-05-26,Account Management,I want to switch to paperless billing.,1,6,0,1
C00006,2024-12-04,Service Quality,The email confirmation for my account change took two days to arrive.,2,13,0,1
C00006,2023-10-14,Service Quality,I have been trying to get this resolved for two weeks now.,3,3,1,0
C00006,2022-05-22,Account Management,I was on hold for about 20 minutes which felt long.,2,11,0,0
C00007,2024-09-23,Service Quality,I had trouble navigating the new online portal at first.,2,10,0,1
C00007,2024-09-01,Meter Reading,The website was slow when I tried to log in yesterday.,2,14,1,1
C00007,2024-07-17,Outage,Nobody in your company seems to take responsibility for anything.,4,16,0,0
C00007,2024-09-26,Service Quality,Response time was a bit slower than last time I called.,2,8,0,1
C00008,2022-05-03,Service Quality,Could you send me a copy of last month's bill?,1,6,0,1
C00009,2022-05-07,Service Quality,My bill was slightly higher than I expected this month.,2,7,1,0
C00010,2024-08-20,Service Quality,My bill has errors and I have had to call twice about the same issue.,3,5,1,1
C00010,2023-05-04,Account Management,The email confirmation for my account change took two days to arrive.,2,8,0,1
C00011,2024-07-17,Account Management,Just checking when my next meter read is scheduled.,1,8,1,1
C00012,2022-01-09,Technical,Quick question about the new tariff letter I received.,1,6,1,1
C00012,2023-03-27,Meter Reading,I want to switch to paperless billing.,1,9,0,1
C00013,2022-12-16,Meter Reading,I have escalated this complaint twice and it is still not resolved.,4,22,0,0
C00014,2023-03-08,Technical,I have escalated this complaint twice and it is still not resolved.,4,23,1,1
C00014,2023-08-05,Meter Reading,My bill has errors and I have had to call twice about the same issue.,3,8,1,0
C00014,2023-08-07,Technical,My meter reading submission didn't go through on the first try.,2,5,0,0
C00014,2022-02-03,Billing,The technician arrived a bit late but did a good job.,2,12,1,1
C00015,2024-05-07,Technical,I was on hold for about 20 minutes which felt long.,2,9,0,0
C00015,2024-02-27,Billing,My power has been out for two days and nobody has given me an update.,4,16,0,0
C00016,2024-09-24,Outage,The website was slow when I tried to log in yesterday.,2,12,0,0
C00016,2022-03-04,Account Management,"There was a small discrepancy on my statement, now resolved.",2,4,0,1
C00016,2022-02-07,Billing,I have been trying to get this resolved for two weeks now.,3,2,1,0
C00017,2023-10-21,Billing,I waited longer than usual for a callback but it came eventually.,2,12,0,1
C00018,2024-07-16,Technical,"Everything is fine, just updating my details.",1,4,0,1
C00019,2024-04-14,Account Management,Response time was a bit slower than last time I called.,2,5,1,1
C00019,2023-07-15,Outage,I want a formal complaint registered. This has gone on too long.,4,16,1,0
C00020,2023-12-01,Service Quality,The technician arrived a bit late but did a good job.,2,3,0,1
C00020,2024-06-16,Service Quality,Can you confirm my direct debit amount?,1,1,0,0
C00020,2024-08-05,Billing,I have been waiting over a week for someone to call me back.,3,11,0,0
C00020,2022-07-27,Technical,The online chat bot could not help me and I had to call anyway.,3,5,1,0
C00021,2023-11-27,Account Management,"Everything is fine, just updating my details.",1,5,0,1
C00021,2024-09-08,Technical,I am very unhappy with the service. My complaint from last month is still open.,4,9,1,0
C00023,2023-02-02,Technical,The customer service agent I spoke to was not very helpful.,3,15,1,1
C00023,2023-08-09,Outage,Calling to update my billing address.,1,4,0,1
C00023,2024-07-27,Technical,I have been trying to get this resolved for two weeks now.,3,1,0,1
C00023,2024-06-23,Billing,I had trouble navigating the new online portal at first.,2,8,1,1
C00025,2024-03-03,Service Quality,My bill was slightly higher than I expected this month.,2,4,0,1
C00025,2022-10-07,Meter Reading,I was treated rudely on my last call and I want this addressed.,4,22,0,0
C00025,2024-09-20,Service Quality,I would like to check my current balance please.,1,1,0,0
C00026,2022-05-11,Outage,I have escalated this complaint twice and it is still not resolved.,4,24,1,1
C00027,2022-04-09,Meter Reading,I feel like loyal customers are not being valued the way they should be.,3,9,1,1
C00027,2024-06-07,Technical,I want a formal complaint registered. This has gone on too long.,4,2,0,0
C00028,2024-02-17,Outage,"Everything is fine, just updating my details.",1,5,0,1
C00028,2022-06-23,Technical,I have escalated this complaint twice and it is still not resolved.,4,1,1,1
C00028,2022-08-20,Service Quality,This is absolutely disgraceful. I am filing a formal complaint with the regulator.,5,8,1,0
C00028,2024-12-09,Account Management,I waited longer than usual for a callback but it came eventually.,2,3,1,1
C00029,2024-07-18,Account Management,I want a full refund and I am cancelling everything today.,5,26,1,0
C00030,2024-12-03,Account Management,Your company has overcharged me for months and nobody will fix it.,5,17,1,0
C00030,2023-09-21,Billing,The technician did not show up at the agreed time without any notice.,3,7,0,1
C00030,2024-06-22,Service Quality,I am contacting my lawyer. This is negligent and completely unacceptable.,5,11,1,0
C00031,2023-06-08,Account Management,The online chat bot could not help me and I had to call anyway.,3,11,0,1
C00031,2023-05-04,Technical,I am not satisfied with how my previous complaint was handled.,3,19,1,0
C00032,2023-10-28,Account Management,I am going to leave a public review warning everyone about this company.,5,11,1,1
C00033,2024-09-25,Outage,The level of service I am receiving is completely unacceptable.,4,16,0,0
C00033,2024-09-02,Service Quality,I was on hold for about 20 minutes which felt long.,2,9,1,1
C00034,2024-02-23,Outage,I would like to check my current balance please.,1,2,0,1
C00034,2023-12-12,Technical,The website was slow when I tried to log in yesterday.,2,13,1,0
C00034,2023-09-07,Outage,The technician did not show up at the agreed time without any notice.,3,4,0,1
C00035,2022-03-10,Technical,Can you confirm my direct debit amount?,1,8,0,1
C00035,2022-12-23,Service Quality,I am very unhappy with the service. My complaint from last month is still open.,4,1,0,1
C00036,2024-06-27,Technical,Response time was a bit slower than last time I called.,2,12,0,1
C00036,2024-10-05,Service Quality,I want a full refund and I am cancelling everything today.,5,18,1,1
C00036,2024-03-05,Service Quality,My account was charged incorrectly and I am still waiting for a credit.,3,8,0,1
C00037,2024-06-06,Account Management,I would like to know my current contract end date.,1,9,1,1
C00037,2022-02-27,Billing,My meter reading submission didn't go through on the first try.,2,4,1,1
C00039,2024-02-25,Account Management,Your company has overcharged me for months and nobody will fix it.,5,4,0,0
C00039,2024-08-20,Account Management,I am contacting my lawyer. This is negligent and completely unacceptable.,5,21,0,0
C00039,2024-02-01,Billing,I want to switch to paperless billing.,1,9,1,1
C00040,2024-07-08,Outage,I would like to check my current balance please.,1,4,0,1
C00041,2024-08-01,Technical,I have escalated this complaint twice and it is still not resolved.,4,8,0,1
C00041,2024-01-20,Account Management,I need to change my contact phone number on the account.,1,6,0,1
C00041,2023-12-26,Account Management,I feel like loyal customers are not being valued the way they should be.,3,17,0,0
C00041,2024-06-06,Account Management,I had trouble navigating the new online portal at first.,2,7,0,1
C00042,2023-09-26,Account Management,This is the third billing error in a row. I am losing patience.,4,18,0,1
C00043,2024-05-28,Service Quality,Just checking when my next meter read is scheduled.,1,5,0,1
C00043,2024-05-15,Technical,I would like to know my current contract end date.,1,1,0,1
C00044,2022-01-15,Technical,The technician arrived a bit late but did a good job.,2,11,1,1
C00044,2023-07-26,Technical,I want a formal complaint registered. This has gone on too long.,4,3,0,0
C00044,2022-12-24,Account Management,Quick question about the new tariff letter I received.,1,6,0,1
C00045,2024-12-15,Service Quality,The online chat bot could not help me and I had to call anyway.,3,18,0,1
C00045,2024-03-04,Account Management,I need to change my contact phone number on the account.,1,4,0,1
C00045,2024-11-06,Outage,Nobody in your company seems to take responsibility for anything.,4,8,0,1
C00045,2024-12-05,Account Management,I feel like loyal customers are not being valued the way they should be.,3,9,0,1
C00046,2023-10-14,Technical,The technician arrived a bit late but did a good job.,2,3,0,0
C00046,2024-01-20,Billing,My meter reading submission didn't go through on the first try.,2,6,0,1
C00046,2024-08-21,Outage,Nobody in your company seems to take responsibility for anything.,4,5,1,1
C00047,2024-06-16,Account Management,The worst customer experience I have ever had in my life.,5,6,1,0
C00047,2024-03-28,Billing,Can you confirm my direct debit amount?,1,2,0,1
C00048,2023-03-22,Billing,I would like to know my current contract end date.,1,9,0,1
C00048,2024-12-21,Meter Reading,Calling to update my billing address.,1,1,0,1
C00049,2023-01-09,Technical,I feel like loyal customers are not being valued the way they should be.,3,4,0,0
C00050,2023-06-27,Meter Reading,The online chat bot could not help me and I had to call anyway.,3,8,1,1
C00051,2024-03-25,Technical,The technician did not show up at the agreed time without any notice.,3,8,0,0
C00051,2023-07-25,Meter Reading,My account was charged incorrectly and I am still waiting for a credit.,3,18,0,1
C00051,2024-05-28,Billing,I have been trying to get this resolved for two weeks now.,3,13,1,0
C00051,2022-06-21,Account Management,I am not satisfied with how my previous complaint was handled.,3,13,1,0
C00052,2023-02-18,Outage,I would like to know my current contract end date.,1,5,0,1
C00052,2022-04-19,Meter Reading,The website was slow when I tried to log in yesterday.,2,2,0,1
C00052,2023-02-07,Billing,I want a full refund and I am cancelling everything today.,5,27,1,0
C00054,2024-01-19,Technical,Quick question about the new tariff letter I received.,1,7,0,1
C00054,2023-05-19,Outage,I was on hold for about 20 minutes which felt long.,2,13,1,1
C00055,2023-11-20,Meter Reading,I want a formal complaint registered. This has gone on too long.,4,5,1,0
C00055,2022-12-01,Meter Reading,I have been waiting over a week for someone to call me back.,3,5,0,1
C00055,2023-12-09,Account Management,I have been trying to get this resolved for two weeks now.,3,6,1,1
C00056,2024-10-13,Account Management,Just checking when my next meter read is scheduled.,1,3,1,1
C00056,2024-08-14,Outage,My bill was slightly higher than I expected this month.,2,12,0,1
C00056,2024-08-06,Billing,Your company has overcharged me for months and nobody will fix it.,5,26,0,0
C00056,2024-04-22,Meter Reading,I am switching providers immediately. I cannot tolerate this incompetence.,5,17,1,1
C00056,2024-06-05,Billing,My bill has errors and I have had to call twice about the same issue.,3,11,1,0
C00056,2024-10-18,Service Quality,Response time was a bit slower than last time I called.,2,6,0,1
C00056,2024-08-28,Meter Reading,I would like to check my current balance please.,1,1,1,1
C00056,2024-04-28,Billing,I have been waiting over a week for someone to call me back.,3,8,0,0
C00057,2024-06-14,Billing,The email confirmation for my account change took two days to arrive.,2,1,0,1
C00058,2024-02-04,Outage,The rate increase was not communicated clearly and came as a surprise.,3,8,1,1
C00061,2024-10-06,Technical,I took a day off work for the technician and nobody came.,4,2,0,0
C00061,2023-02-17,Service Quality,Response time was a bit slower than last time I called.,2,8,1,1
C00061,2023-05-24,Outage,I need to change my contact phone number on the account.,1,2,0,0
C00061,2023-08-19,Outage,Response time was a bit slower than last time I called.,2,4,0,1
C00061,2023-12-19,Account Management,My bill has errors and I have had to call twice about the same issue.,3,1,1,0
C00063,2024-06-17,Technical,I was on hold for about 20 minutes which felt long.,2,13,1,1
C00063,2022-10-06,Billing,I am considering switching providers if this is not fixed immediately.,4,6,0,0
C00063,2023-11-01,Meter Reading,I took a day off work for the technician and nobody came.,4,21,1,1
C00063,2024-03-06,Meter Reading,Response time was a bit slower than last time I called.,2,2,0,1
C00064,2023-02-11,Account Management,The technician did not show up at the agreed time without any notice.,3,9,1,0
C00064,2022-04-18,Billing,My power has been out for two days and nobody has given me an update.,4,5,1,0
C00065,2024-12-05,Service Quality,I have been waiting over a week for someone to call me back.,3,5,0,0
C00065,2024-06-07,Account Management,The email confirmation for my account change took two days to arrive.,2,8,0,0
C00065,2022-05-15,Outage,The worst customer experience I have ever had in my life.,5,6,0,0
C00066,2024-10-06,Outage,I was on hold for about 20 minutes which felt long.,2,10,0,1
C00066,2024-04-02,Technical,The technician arrived a bit late but did a good job.,2,2,0,1
C00067,2024-07-10,Service Quality,The email confirmation for my account change took two days to arrive.,2,14,0,1
C00067,2022-08-02,Service Quality,The technician did not show up at the agreed time without any notice.,3,4,1,0
C00069,2024-07-05,Account Management,I want to switch to paperless billing.,1,5,0,1
C00069,2024-01-27,Billing,The website was slow when I tried to log in yesterday.,2,10,0,0
C00069,2024-05-19,Meter Reading,Response time was a bit slower than last time I called.,2,2,0,1
C00070,2022-02-10,Technical,My bill was slightly higher than I expected this month.,2,9,1,1
C00070,2024-03-22,Billing,I want to switch to paperless billing.,1,9,0,0
C00070,2023-04-08,Meter Reading,This is the third billing error in a row. I am losing patience.,4,16,1,0
C00071,2023-12-07,Outage,I have been waiting over a week for someone to call me back.,3,13,0,1
C00073,2023-10-11,Account Management,I was treated rudely on my last call and I want this addressed.,4,11,1,0
C00074,2024-12-17,Technical,I am very unhappy with the service. My complaint from last month is still open.,4,2,1,1
C00074,2024-12-08,Outage,I have been waiting over a week for someone to call me back.,3,11,0,1
C00076,2024-05-06,Technical,I have been trying to get this resolved for two weeks now.,3,9,0,0
C00077,2024-11-28,Technical,Nobody in your company seems to take responsibility for anything.,4,3,1,0
C00077,2022-02-28,Technical,Calling to update my billing address.,1,6,0,1
C00077,2024-04-23,Service Quality,I was on hold for about 20 minutes which felt long.,2,13,0,1
C00079,2022-02-01,Account Management,I am not satisfied with how my previous complaint was handled.,3,5,0,0
C00079,2022-12-21,Service Quality,I would like to know my current contract end date.,1,3,0,1
C00080,2024-05-27,Meter Reading,My meter reading submission didn't go through on the first try.,2,1,0,1
C00081,2023-09-15,Technical,"There was a small discrepancy on my statement, now resolved.",2,4,0,1
C00081,2023-03-15,Technical,Your company has overcharged me for months and nobody will fix it.,5,28,1,0
C00081,2024-07-23,Technical,"Everything is fine, just updating my details.",1,9,0,1
C00081,2023-07-18,Service Quality,Response time was a bit slower than last time I called.,2,7,0,0
